Date,Close/Last,Volume,Open,High,Low,Day
2/24/2025,404,26443660,408,409,399,1
2/21/2025,408,27524800,417,418,407,2
2/20/2025,416,23508730,415,419,412,3
2/19/2025,414,24114200,407,415,407,4
2/18/2025,409,21423050,408,410,406,5
2/14/2025,408,22758460,407,408,405,6
2/13/2025,410,23891730,407,411,406,7
2/12/2025,409,19121730,407,410,404,8
2/11/2025,411,18140590,409,412,409,9
2/10/2025,412,20817920,413,415,410,10
2/7/2025,409,22886840,416,418,408,11
2/6/2025,415,16309760,414,418,414,12
2/5/2025,413,16336190,412,413,410,13
2/4/2025,412,20532100,412,413,409,14
2/3/2025,410,25679150,411,415,408,15
1/31/2025,415,34223390,418,420,414,16
1/30/2025,414,54586260,418,422,413,17
1/29/2025,442,23581370,446,446,440,18
1/28/2025,447,23491700,434,448,431,19
1/27/2025,434,35647810,424,435,423,20
1/24/2025,444,15549450,445,446,441,21
1/23/2025,446,18389270,442,446,441,22
1/22/2025,446,27803810,437,447,436,23
1/21/2025,428,26085700,430,430,425,24
1/17/2025,429,26197510,434,434,428,25
1/16/2025,424,15300020,428,429,424,26
1/15/2025,426,19637840,419,428,418,27
1/14/2025,415,16935860,417,419,410,28
1/13/2025,417,17604780,415,418,412,29
1/10/2025,418,20201130,424,424,415,30
1/8/2025,424,15054580,423,426,421,31
1/7/2025,422,18139070,429,430,420,32
1/6/2025,427,20573650,428,434,425,33
1/3/2025,423,16662940,421,424,419,34
1/2/2025,418,16896470,425,426,414,35
12/31/2024,421,13246510,426,426,420,36
12/30/2024,424,13158700,426,427,421,37
12/27/2024,430,18117710,434,435,426,38
12/26/2024,438,8199927,439,440,436,39
12/24/2024,439,7164543,434,439,434,40
12/23/2024,435,19152520,436,437,432,41
12/20/2024,436,64263690,433,443,428,42
12/19/2024,437,22963680,441,443,436,43
12/18/2024,437,24444550,451,452,437,44
12/17/2024,454,22733490,451,455,449,45
12/16/2024,451,23598830,447,452,445,46
12/13/2024,447,20177830,448,451,445,47
12/12/2024,449,20834780,449,456,449,48
12/11/2024,448,19200210,444,450,444,49
12/10/2024,443,18469460,444,449,441,50
12/9/2024,446,19144390,442,448,440,51
12/6/2024,443,18821000,442,446,441,52
12/5/2024,442,21697780,437,444,436,53
12/4/2024,437,26009430,433,439,432,54
12/3/2024,431,18301990,429,432,427,55
12/2/2024,430,20207220,421,433,421,56
11/29/2024,423,16271920,420,424,417,57
11/27/2024,422,18332440,425,427,422,58
11/26/2024,427,23458890,419,429,418,59
11/25/2024,418,27691090,418,421,414,60
11/22/2024,417,24814630,411,417,411,61
11/21/2024,412,20780160,419,419,410,62
11/20/2024,415,19191660,416,417,410,63
11/19/2024,417,18133530,413,417,411,64
11/18/2024,415,24742010,414,418,412,65
11/15/2024,415,28247640,419,422,413,66
11/14/2024,426,30246880,425,428,420,67
11/13/2024,425,21502190,421,429,418,68
11/12/2024,423,19401200,418,424,417,69
11/11/2024,418,24503320,422,424,416,70
11/8/2024,422,16891410,425,426,421,71
11/7/2024,425,19901780,421,426,419,72
11/6/2024,420,26681840,412,420,410,73
11/5/2024,411,17626010,408,414,408,74
11/4/2024,408,19672290,409,410,405,75
11/1/2024,410,24230440,409,415,407,76
10/31/2024,406,53970980,415,416,406,77
10/30/2024,432,29749150,437,438,432,78
10/29/2024,431,17644080,428,433,425,79
10/28/2024,426,14882440,431,431,426,80
10/25/2024,428,16899060,426,432,426,81
10/24/2024,424,13581630,425,425,422,82
10/23/2024,424,19654380,430,431,422,83
10/22/2024,427,25482200,418,430,418,84
10/21/2024,418,14206120,416,418,413,85
10/18/2024,418,17145320,417,419,416,86
10/17/2024,416,14820000,422,422,415,87
10/16/2024,416,15508930,415,416,410,88
10/15/2024,418,18900200,422,422,415,89
10/14/2024,419,16653090,417,424,417,90
10/11/2024,416,14144940,416,417,413,91
10/10/2024,415,13848380,415,417,413,92
10/9/2024,417,14974260,415,420,414,93
10/8/2024,414,19229260,410,415,408,94
10/7/2024,409,20919760,416,417,409,95
10/4/2024,416,19190910,418,419,414,96
10/3/2024,416,13686420,417,419,414,97
10/2/2024,417,16582260,422,422,416,98
10/1/2024,420,19092950,428,428,418,99
9/30/2024,430,16854610,428,430,425,100
9/27/2024,428,14896130,431,431,427,101
9/26/2024,431,14492040,435,435,429,102
9/25/2024,432,13396360,429,433,428,103
9/24/2024,429,17015750,433,433,426,104
9/23/2024,433,15128890,434,436,430,105
9/20/2024,435,55167110,437,439,434,106
9/19/2024,438,21706560,441,441,436,107
9/18/2024,430,18898040,435,436,430,108
9/17/2024,435,18874230,440,441,432,109
9/16/2024,431,13834700,430,433,428,110
9/13/2024,430,15874560,425,431,425,111
9/12/2024,427,17418760,423,427,419,112
9/11/2024,423,19266920,415,423,409,113
9/10/2024,414,19594290,408,416,407,114
9/9/2024,405,15295130,407,408,402,115
9/6/2024,401,19609530,409,410,400,116
9/5/2024,408,14195520,407,413,406,117
9/4/2024,408,15135810,405,411,404,118
9/3/2024,409,20313600,417,419,407,119
8/30/2024,417,24308320,415,417,412,120
8/29/2024,413,17045240,414,422,410,121
8/28/2024,410,14882660,414,415,407,122
8/27/2024,413,13492910,412,414,410,123
8/26/2024,413,13152830,416,417,411,124
8/23/2024,416,18493780,416,419,412,125
8/22/2024,415,19361900,424,426,414,126
8/21/2024,424,16067300,424,426,421,127
8/20/2024,424,16387580,421,425,421,128
8/19/2024,421,15233960,418,421,416,129
8/16/2024,418,22775590,420,421,417,130
8/15/2024,421,20752140,419,421,417,131
8/14/2024,416,18266980,414,417,412,132
8/13/2024,414,19414270,409,414,409,133
8/12/2024,406,16762880,407,408,404,134
8/9/2024,406,19276670,404,408,402,135
8/8/2024,402,20203030,402,405,399,136
8/7/2024,398,20650910,408,410,397,137
8/6/2024,399,24946530,400,405,398,138
8/5/2024,395,40709240,389,401,385,139
8/2/2024,408,29437900,412,415,404,140
8/1/2024,417,30296400,420,427,413,141
7/31/2024,418,42891370,420,421,412,142
7/30/2024,422,32687580,427,429,417,143
7/29/2024,426,15125840,431,432,424,144
7/26/2024,425,23583840,418,428,417,145
7/25/2024,418,29943800,428,429,417,146
7/24/2024,428,26805800,440,441,427,147
7/23/2024,444,13107050,443,448,443,148
7/22/2024,442,15808760,441,444,438,149
7/19/2024,437,20940420,433,441,432,150
7/18/2024,440,20794820,444,444,434,151
7/17/2024,443,21754020,442,444,439,152
7/16/2024,449,17175680,454,454,446,153
7/15/2024,453,14429450,453,457,451,154
7/12/2024,453,16324270,454,456,450,155
7/11/2024,454,23111180,462,464,451,156
7/10/2024,466,18196100,461,466,458,157
