Date,Close/Last,Volume,Open,High,Low,Day
45712,404,26443660,408,409,399,1
45709,408,27524800,417,418,407,2
45708,416,23508730,415,419,412,3
45707,414,24114200,407,415,407,4
45706,409,21423050,408,410,406,5
45702,408,22758460,407,408,405,6
45701,410,23891730,407,411,406,7
45700,409,19121730,407,410,404,8
45699,411,18140590,409,412,409,9
45698,412,20817920,413,415,410,10
45695,409,22886840,416,418,408,11
45694,415,16309760,414,418,414,12
45693,413,16336190,412,413,410,13
45692,412,20532100,412,413,409,14
45691,410,25679150,411,415,408,15
45688,415,34223390,418,420,414,16
45687,414,54586260,418,422,413,17
45686,442,23581370,446,446,440,18
45685,447,23491700,434,448,431,19
45684,434,35647810,424,435,423,20
45681,444,15549450,445,446,441,21
45680,446,18389270,442,446,441,22
45679,446,27803810,437,447,436,23
45678,428,26085700,430,430,425,24
45674,429,26197510,434,434,428,25
45673,424,15300020,428,429,424,26
45672,426,19637840,419,428,418,27
45671,415,16935860,417,419,410,28
45670,417,17604780,415,418,412,29
45667,418,20201130,424,424,415,30
45665,424,15054580,423,426,421,31
45664,422,18139070,429,430,420,32
45663,427,20573650,428,434,425,33
45660,423,16662940,421,424,419,34
45659,418,16896470,425,426,414,35
45657,421,13246510,426,426,420,36
45656,424,13158700,426,427,421,37
45653,430,18117710,434,435,426,38
45652,438,8199927,439,440,436,39
45650,439,7164543,434,439,434,40
45649,435,19152520,436,437,432,41
45646,436,64263690,433,443,428,42
45645,437,22963680,441,443,436,43
45644,437,24444550,451,452,437,44
45643,454,22733490,451,455,449,45
45642,451,23598830,447,452,445,46
45639,447,20177830,448,451,445,47
45638,449,20834780,449,456,449,48
45637,448,19200210,444,450,444,49
45636,443,18469460,444,449,441,50
45635,446,19144390,442,448,440,51
45632,443,18821000,442,446,441,52
45631,442,21697780,437,444,436,53
45630,437,26009430,433,439,432,54
45629,431,18301990,429,432,427,55
45628,430,20207220,421,433,421,56
45625,423,16271920,420,424,417,57
45623,422,18332440,425,427,422,58
45622,427,23458890,419,429,418,59
45621,418,27691090,418,421,414,60
45618,417,24814630,411,417,411,61
45617,412,20780160,419,419,410,62
45616,415,19191660,416,417,410,63
45615,417,18133530,413,417,411,64
45614,415,24742010,414,418,412,65
45611,415,28247640,419,422,413,66
45610,426,30246880,425,428,420,67
45609,425,21502190,421,429,418,68
45608,423,19401200,418,424,417,69
45607,418,24503320,422,424,416,70
