Date,Close/Last,Volume,Open,High,Low,Day
02/25/2020,168.07,68073300,$174.20,$174.84,$167.65,0
02/26/2020,170.17,56387150,$169.71,$173.26,$168.21,1
02/27/2020,158.18,93174910,$163.32,$167.03,$157.98,2
02/28/2020,162.01,97073560,$152.41,$163.71,$152.00,3
03/02/2020,172.79,71030810,$165.31,$172.92,$162.31,4
03/03/2020,164.51,71677020,$173.80,$175.00,$162.26,5
03/04/2020,170.55,49814380,$168.49,$170.70,$165.62,6
03/05/2020,166.27,47817250,$166.05,$170.87,$165.69,7
03/06/2020,161.57,72821060,$162.61,$163.11,$156.00,8
03/09/2020,150.62,70419270,$151.00,$157.75,$150.00,9
03/10/2020,160.92,65354390,$158.16,$161.03,$152.58,10
03/11/2020,153.63,56504300,$157.13,$157.70,$151.15,11
03/12/2020,139.06,93226370,$145.30,$153.47,$138.58,12
03/13/2020,158.83,92727450,$147.50,$161.91,$140.73,13
03/16/2020,135.42,87905870,$140.00,$149.35,$135.00,14
03/17/2020,146.57,81059820,$140.00,$147.50,$135.00,15
03/18/2020,140.4,81593170,$138.00,$146.00,$135.02,16
03/19/2020,142.71,85922660,$142.77,$150.15,$139.00,17
03/20/2020,137.35,84866220,$146.00,$147.10,$135.86,18
03/23/2020,135.98,78975180,$137.01,$140.57,$132.52,19
03/24/2020,148.34,82516730,$143.75,$149.60,$141.27,20
03/25/2020,146.92,75638220,$148.91,$154.33,$144.44,21
03/26/2020,156.11,64694430,$148.40,$156.66,$148.37,22
03/27/2020,149.7,57042290,$151.75,$154.89,$149.20,23
03/30/2020,160.23,63420330,$152.44,$160.60,$150.01,24
03/31/2020,157.71,77927190,$159.40,$164.78,$156.56,25
04/01/2020,152.11,57969930,$153.00,$157.75,$150.82,26
04/02/2020,155.26,49630740,$151.86,$155.48,$150.36,27
04/03/2020,153.83,41243280,$155.10,$157.38,$152.19,28
04/06/2020,165.27,67111700,$160.32,$166.50,$157.58,29
04/07/2020,163.49,62769040,$169.59,$170.00,$163.26,30
04/08/2020,165.13,48318230,$165.67,$166.67,$163.50,31
04/09/2020,165.14,51431780,$166.36,$167.37,$163.33,32
04/13/2020,165.51,41905260,$164.35,$165.57,$162.30,33
04/14/2020,173.7,52874340,$169.00,$173.75,$168.00,34
04/15/2020,171.88,40940830,$171.20,$173.57,$169.24,35
04/16/2020,177.04,50479610,$174.30,$177.28,$172.90,36
04/17/2020,178.6,52765630,$179.50,$180.00,$175.87,37
04/20/2020,175.06,36669560,$176.63,$178.75,$174.99,38
04/21/2020,167.82,56203750,$173.50,$173.67,$166.11,39
04/22/2020,173.52,34651600,$171.39,$174.00,$170.82,40
04/23/2020,171.42,32790800,$174.11,$175.06,$170.91,41
04/24/2020,174.55,34305320,$172.06,$174.56,$170.71,42
04/27/2020,174.05,33194380,$176.59,$176.90,$173.30,43
04/28/2020,169.81,34392690,$175.59,$175.67,$169.39,44
04/29/2020,177.43,51286560,$173.22,$177.68,$171.88,45
04/30/2020,179.21,53875860,$180.00,$180.40,$176.23,46
05/01/2020,174.57,39370470,$175.80,$178.64,$174.01,47
05/04/2020,178.84,30372860,$174.49,$179.00,$173.80,48
05/05/2020,180.76,36839170,$180.62,$183.65,$179.90,49
05/06/2020,182.54,32139300,$182.08,$184.20,$181.63,50
05/07/2020,183.6,28315990,$184.17,$184.55,$182.58,51
05/08/2020,184.68,30912640,$184.98,$185.00,$183.36,52
05/11/2020,186.74,30892660,$183.15,$187.51,$182.85,53
05/12/2020,182.51,32038200,$186.80,$187.04,$182.30,54
05/13/2020,179.75,44711490,$182.55,$184.05,$176.54,55
05/14/2020,180.53,41873910,$177.54,$180.69,$175.68,56
05/15/2020,183.16,46610380,$179.06,$187.06,$177.00,57
05/18/2020,184.91,35306620,$185.75,$186.20,$183.96,58
05/19/2020,183.63,26799120,$185.03,$186.60,$183.49,59
05/20/2020,185.66,31261330,$184.81,$185.85,$183.94,60
05/21/2020,183.43,29119510,$185.40,$186.67,$183.29,61
05/22/2020,183.51,20826900,$183.19,$184.46,$182.54,62
05/26/2020,181.57,36073610,$186.34,$186.50,$181.10,63
05/27/2020,181.81,39517150,$180.20,$181.99,$176.60,64
05/28/2020,181.4,33831820,$180.74,$184.15,$180.38,65
05/29/2020,183.25,42146720,$182.73,$184.27,$180.41,66
06/01/2020,182.83,22668820,$182.54,$183.00,$181.46,67
06/02/2020,184.91,30794590,$184.25,$185.00,$181.35,68
06/03/2020,185.36,27311020,$184.82,$185.94,$183.58,69
06/04/2020,182.92,28761810,$184.30,$185.84,$182.30,70
06/05/2020,187.2,39893640,$182.62,$187.73,$182.01,71
06/08/2020,188.36,33211590,$185.94,$188.55,$184.44,72
06/09/2020,189.8,29783920,$188.00,$190.70,$187.26,73
06/10/2020,196.84,43872330,$191.13,$198.52,$191.01,74
06/11/2020,186.27,52854670,$193.13,$195.76,$186.07,75
06/12/2020,187.74,43373590,$190.54,$191.72,$185.18,76
06/15/2020,188.94,32770190,$184.58,$190.82,$184.01,77
06/16/2020,193.57,42556660,$192.89,$195.58,$191.46,78
06/17/2020,194.24,25687820,$195.03,$196.32,$193.69,79
06/18/2020,196.32,23061650,$194.00,$196.49,$194.00,80
06/19/2020,195.15,44441140,$198.59,$199.29,$194.37,81
06/22/2020,200.57,32818930,$195.79,$200.76,$195.23,82
06/23/2020,201.91,30917450,$202.09,$203.95,$201.43,83
06/24/2020,197.84,36740650,$201.60,$203.25,$196.56,84
06/25/2020,200.34,27803930,$197.80,$200.61,$195.47,85
06/26/2020,196.33,54675780,$199.73,$199.89,$194.88,86
06/29/2020,198.44,26701590,$195.78,$198.53,$193.55,87
06/30/2020,203.51,34310280,$197.88,$204.40,$197.74,88
07/01/2020,204.7,32061210,$203.14,$206.35,$201.77,89
07/02/2020,206.26,29315760,$205.68,$208.02,$205.00,90
07/06/2020,210.7,31897630,$208.83,$211.13,$208.09,91
07/07/2020,208.25,33600730,$210.45,$214.67,$207.99,92
07/08/2020,212.83,33600030,$210.07,$213.26,$208.69,93
07/09/2020,214.32,33121680,$216.33,$216.38,$211.47,94
07/10/2020,213.67,26177630,$213.62,$214.08,$211.08,95
07/13/2020,207.07,38135610,$214.48,$215.80,$206.50,96
07/14/2020,208.35,37591820,$206.13,$208.85,$202.03,97
07/15/2020,208.04,32179410,$209.56,$211.33,$205.03,98
07/16/2020,203.92,29940650,$205.40,$205.70,$202.31,99
07/17/2020,202.88,31635280,$204.47,$205.04,$201.39,100
07/20/2020,211.6,36884840,$205.00,$212.30,$203.01,101
07/21/2020,208.75,38105780,$213.66,$213.94,$208.03,102
07/22/2020,211.75,49605690,$209.20,$212.30,$208.39,103
07/23/2020,202.54,67457040,$207.19,$210.92,$202.15,104
07/24/2020,201.3,39826990,$200.42,$202.86,$197.51,105
07/27/2020,203.85,30160870,$201.47,$203.97,$200.86,106
07/28/2020,202.02,23251390,$203.61,$204.70,$201.74,107
07/29/2020,204.06,19632600,$202.50,$204.65,$202.01,108
07/30/2020,203.9,25079600,$201.00,$204.46,$199.57,109
07/31/2020,205.01,51247970,$204.40,$205.10,$199.01,110
08/03/2020,216.54,78983010,$211.52,$217.64,$210.44,111
08/04/2020,213.29,49280060,$214.17,$214.77,$210.31,112
08/05/2020,212.94,28858620,$214.90,$215.00,$211.57,113
08/06/2020,216.35,32656840,$212.34,$216.37,$211.55,114
08/07/2020,212.48,27820420,$214.85,$215.70,$210.93,115
08/10/2020,208.25,36716460,$211.67,$211.88,$206.35,116
08/11/2020,203.38,36446460,$207.16,$207.65,$203.14,117
08/12/2020,209.19,28041360,$205.29,$210.28,$204.75,118
08/13/2020,208.7,22588870,$209.44,$211.35,$208.15,119
08/14/2020,208.9,17958940,$208.76,$209.59,$207.51,120
08/17/2020,210.28,20184760,$209.60,$211.19,$208.92,121
08/18/2020,211.49,21336170,$210.53,$212.36,$209.21,122
08/19/2020,209.7,27627560,$211.49,$212.10,$209.25,123
08/20/2020,214.58,26981480,$209.54,$215.00,$208.91,124
08/21/2020,213.02,36249320,$213.86,$216.25,$212.85,125
08/24/2020,213.69,25460150,$214.79,$215.52,$212.43,126
08/25/2020,216.47,23043700,$213.10,$216.61,$213.10,127
08/26/2020,221.15,39600830,$217.88,$222.09,$217.36,128
08/27/2020,226.58,57602200,$222.89,$231.15,$219.40,129
08/28/2020,228.91,26292900,$228.18,$230.64,$226.58,130
08/31/2020,225.53,28774160,$227.00,$228.70,$224.31,131
09/01/2020,227.27,25791240,$225.51,$227.45,$224.43,132
09/02/2020,231.65,34080840,$227.97,$232.86,$227.35,133
09/03/2020,217.3,58400290,$229.27,$229.31,$214.96,134
09/04/2020,214.25,59664070,$215.10,$218.36,$205.19,135
09/08/2020,202.66,52924330,$206.50,$210.03,$202.20,136
09/09/2020,211.29,45678990,$207.60,$214.84,$206.70,137
09/10/2020,205.37,35461510,$213.40,$214.74,$204.11,138
09/11/2020,204.03,33620070,$207.20,$208.63,$201.24,139
09/14/2020,205.41,30375770,$204.24,$209.20,$204.03,140
09/15/2020,208.78,21823940,$208.42,$209.78,$206.93,141
09/16/2020,205.05,26372460,$210.62,$210.65,$204.64,142
09/17/2020,202.91,34011260,$200.05,$204.33,$199.96,143
09/18/2020,200.39,55225330,$202.80,$203.65,$196.25,144
09/21/2020,202.54,39839660,$197.19,$202.71,$196.38,145
09/22/2020,207.42,33517070,$205.06,$208.10,$202.08,146
09/23/2020,200.59,30803780,$207.90,$208.10,$200.03,147
09/24/2020,203.19,31202490,$199.85,$205.57,$199.20,148
09/25/2020,207.82,29437310,$203.55,$209.04,$202.54,149
09/28/2020,209.44,32004940,$210.88,$212.57,$208.06,150
09/29/2020,207.26,24464470,$209.35,$210.07,$206.81,151
09/30/2020,210.33,33829090,$207.73,$211.98,$206.54,152
10/01/2020,212.46,27158420,$213.49,$213.99,$211.32,153
10/02/2020,206.19,33154780,$208.00,$210.99,$205.54,154
10/05/2020,210.38,21331560,$207.22,$210.41,$206.98,155
10/06/2020,205.91,28554260,$208.82,$210.18,$204.82,156
10/07/2020,209.83,25681050,$207.06,$210.11,$206.72,157
10/08/2020,210.58,19925840,$210.51,$211.19,$208.32,158
10/09/2020,215.81,26458050,$211.23,$215.86,$211.23,159
10/12/2020,221.4,40461370,$218.79,$223.86,$216.81,160
10/13/2020,222.86,28950840,$222.72,$225.21,$220.43,161
10/14/2020,220.86,23451710,$223.00,$224.22,$219.13,162
10/15/2020,219.66,22733060,$217.10,$220.36,$216.01,163
10/16/2020,219.66,26057880,$220.15,$222.29,$219.32,164
10/19/2020,214.22,27625840,$220.42,$222.30,$213.72,165
10/20/2020,214.65,22753510,$215.80,$217.37,$213.09,166
10/21/2020,214.8,22724910,$213.12,$216.92,$213.12,167
10/22/2020,214.89,22351450,$213.93,$216.06,$211.70,168
10/23/2020,216.23,18879610,$215.03,$216.28,$213.16,169
10/26/2020,210.08,37111560,$213.85,$216.34,$208.10,170
10/27/2020,213.25,36700330,$211.59,$214.67,$210.33,171
10/28/2020,202.68,51195590,$207.67,$208.84,$202.10,172
10/29/2020,204.72,31432560,$204.07,$207.36,$203.37,173
10/30/2020,202.47,36980110,$203.50,$204.29,$199.62,174
11/02/2020,202.33,30842160,$204.29,$205.28,$200.12,175
11/03/2020,206.43,27512030,$203.89,$208.12,$203.12,176
11/04/2020,216.39,42311780,$214.02,$218.32,$212.42,177
11/05/2020,223.29,36080140,$222.04,$224.12,$221.15,178
11/06/2020,223.72,25231900,$222.26,$224.36,$218.03,179
11/09/2020,218.39,44394950,$224.44,$228.12,$217.88,180
11/10/2020,211.01,44045120,$214.50,$216.50,$209.72,181
11/11/2020,216.55,29440790,$212.39,$218.04,$212.20,182
11/12/2020,215.44,21616120,$217.21,$219.11,$214.46,183
11/13/2020,216.51,18630310,$216.36,$217.42,$214.16,184
11/16/2020,217.23,24953340,$214.87,$217.74,$214.52,185
11/17/2020,214.46,24154110,$216.10,$217.68,$214.08,186
11/18/2020,211.08,28372790,$213.65,$215.17,$210.93,187
11/19/2020,212.42,24792750,$211.38,$213.03,$209.93,188
11/20/2020,210.39,22843120,$212.20,$213.29,$210.00,189
11/23/2020,210.11,25683510,$210.95,$212.29,$208.16,190
11/24/2020,213.86,33979730,$209.59,$214.25,$208.86,191
11/25/2020,213.87,21012890,$215.11,$215.29,$212.46,192
11/27/2020,215.23,14512210,$214.85,$216.27,$214.04,193
11/30/2020,214.07,33064750,$214.10,$214.76,$210.84,194
12/01/2020,216.21,30931320,$214.51,$217.32,$213.35,195
12/02/2020,215.37,23724510,$214.88,$215.47,$212.80,196
12/03/2020,214.24,25120920,$214.61,$216.38,$213.65,197
12/04/2020,214.36,24666040,$214.22,$215.38,$213.18,198
12/07/2020,214.29,24620000,$214.37,$215.54,$212.99,199
12/08/2020,216.01,23284090,$213.97,$216.95,$212.89,200
12/09/2020,211.8,32440600,$215.16,$215.23,$211.21,201
12/10/2020,210.52,26467020,$211.77,$213.08,$210.36,202
12/11/2020,213.26,30979440,$210.05,$213.32,$209.11,203
12/14/2020,214.2,28798380,$213.10,$216.21,$212.88,204
12/15/2020,214.13,27018110,$215.17,$215.42,$212.24,205
12/16/2020,219.28,35023250,$214.75,$220.11,$214.72,206
12/17/2020,219.42,32515780,$219.87,$220.89,$217.92,207
12/18/2020,218.59,63354920,$218.59,$219.69,$216.02,208
12/21/2020,222.59,37181890,$217.55,$224.00,$217.28,209
12/22/2020,223.94,22643400,$222.69,$225.63,$221.85,210
12/23/2020,221.02,18699640,$223.11,$223.56,$220.80,211
12/24/2020,222.75,10550570,$221.42,$223.61,$221.20,212
12/28/2020,224.96,17933500,$224.45,$226.03,$223.02,213
12/29/2020,224.15,17403210,$226.31,$227.18,$223.58,214
12/30/2020,221.68,20272340,$225.23,$225.63,$221.47,215
12/31/2020,222.42,20942130,$221.70,$223.00,$219.68,216
01/04/2021,217.69,37130140,$222.53,$223.00,$214.81,217
01/05/2021,217.9,23822950,$217.26,$218.52,$215.70,218
01/06/2021,212.25,35930650,$212.17,$216.49,$211.94,219
01/07/2021,218.29,27694480,$214.04,$219.34,$213.71,220
01/08/2021,219.62,22956210,$218.68,$220.58,$217.03,221
01/11/2021,217.49,23047030,$218.47,$218.91,$216.73,222
01/12/2021,214.93,23249340,$216.50,$217.10,$213.32,223
01/13/2021,216.34,20087080,$214.02,$216.76,$213.93,224
01/14/2021,213.02,29346740,$215.91,$217.46,$212.74,225
01/15/2021,212.65,31746510,$213.52,$214.51,$212.03,226
01/19/2021,216.44,30480860,$213.75,$216.98,$212.63,227
01/20/2021,224.34,37777260,$217.70,$225.79,$217.29,228
01/21/2021,224.97,30749550,$224.70,$226.30,$222.42,229
01/22/2021,225.95,30172660,$227.08,$230.07,$225.80,230
01/25/2021,229.53,33152100,$229.12,$229.78,$224.22,231
01/26/2021,232.33,49169600,$231.86,$234.18,$230.08,232
01/27/2021,232.9,69870640,$238.00,$240.44,$230.14,233
01/28/2021,238.93,49111160,$235.61,$242.64,$235.09,234
01/29/2021,231.96,42503140,$235.99,$238.02,$231.35,235
02/01/2021,239.65,33314190,$235.06,$242.50,$232.43,236
02/02/2021,239.51,25916340,$241.30,$242.31,$238.69,237
02/03/2021,243,27158100,$239.57,$245.09,$239.26,238
02/04/2021,242.01,25296100,$242.66,$243.24,$240.37,239
02/05/2021,242.2,18054750,$242.23,$243.28,$240.42,240
02/08/2021,242.47,22211930,$243.15,$243.68,$240.81,241
02/09/2021,243.77,23564950,$241.87,$244.76,$241.38,242
02/10/2021,242.82,22186710,$245.00,$245.92,$240.89,243
02/11/2021,244.49,15751060,$244.78,$245.15,$242.15,244
02/12/2021,244.99,16561080,$243.93,$245.30,$242.73,245
02/16/2021,243.7,26728490,$245.03,$246.13,$242.92,246
02/17/2021,244.2,21673110,$241.32,$244.31,$240.94,247
02/18/2021,243.79,16925560,$241.80,$243.93,$240.86,248
02/19/2021,240.97,25262600,$243.75,$243.86,$240.18,249
02/22/2021,234.51,36446940,$237.42,$237.93,$232.40,250
02/23/2021,233.27,30228700,$230.33,$234.83,$228.73,251
02/24/2021,234.55,26339750,$230.01,$235.20,$229.00,252
02/25/2021,228.99,39542240,$232.08,$234.59,$227.88,253
02/26/2021,232.38,37819230,$231.53,$235.37,$229.54,254
03/01/2021,236.94,25332840,$235.90,$237.47,$233.15,255
03/02/2021,233.87,22812460,$237.01,$237.30,$233.45,256
